request_id,request
0,could you stop talking for a second
1,can you give me an overview of what march 23 will look like for me
2,help me find somewhere to schedule a check up on my car's tires
3,what's my flight's eta
4,have they approved my vacation request yet
5,can you talk faster
6,when is the next rain chance
7,the male voice please
8,what is the pressure of my tires
9,are socket converters necessary in england
10,which fuel does my car take
11,add twelve and twelve please
12,how can i find a new credit card to apply to
13,is it raining
14,what about the weather in austin
15,it is okay to use water in place of milk
16,please put my account on hold
17,i'm travelling to thailand soon and want to inform my bank
18,remember to lock the doors
19,has my order arrived yet
20,tell me all about the trivia with friends
21,i'm making a purchase and need the help of ai
22,no more talking
23,my card is impaired and i can't use it
24,did i make a note on my todo list to mop the bathroom floor
25,what things can i do to increase my credit score
26,how would i say i must be going now if i were german
27,turn the oven to 350
28,i sent in a request for vacation time off and am wondering if its been approved yet
29,i want to listen to music
30,does olive garden have good reviews
31,can i use my credit card points to make purchase
32,do you have any elvis music
33,what is the day now
34,convert inch to cm
35,how do you change car oil
36,speak in a male voice
37,can i plug in my electronics there like normal
38,where my phone
39,can you send me an uber to go to a restaurant in downtown phoenix
40,get my back to factory settings
41,i need everything on my shopping list
42,when will my package arrive
43,how many miles before i run out of gas
44,"alexa, buy a new television"
45,my luggage appears to be missing
46,whats the total of my federal taxes
47,it it possible to take pto from the 8th to the 11th
48,would you tell me your name
49,pay my monthy mortgage payment
50,i need a new card because my dog chewed on it and now it does not work
51,do i need an international visa to go to hong kong
52,how is that weather
53,help locate my phone
54,to what extent until the following day away from work
55,what date is it today
56,where can i cash out my card points
57,please cancel that last command
58,today's fun fact
59,what's happening on may 3rd
60,can you play your guitar right now
61,what can you tell me about miami weather
62,please pair my phone
63,please stop it
64,what kid of subjects do you excel in
65,set the oven temperature to 350
66,create a reminder
67,how do i get cash back for the rewards on my amex card
68,i repeat cancel
69,i'm in baggage claim at the airport and my luggage didn't make it
70,"could you put a stop on my bank account, please"
71,tell me how much longer i will have to drive to reach the destination
72,what's it doing outside right now
73,revert to factory settings
74,check my domestic to do list for carpet cleaning
75,are the reviews good or bad for burger king
76,is grocery shopping on my reminders list
77,what does my federal tax return look like
78,secure the doors
79,freeze my account
80,put a block on my chase account right away
81,has my order been shipped
82,please rely on your original settings
83,could you tell me the status of my frontier flight
84,is my delta flight on time
85,"hey, how do i call your attention"
86,when is boarding scheduled
87,how do i replace a damaged card
88,when should i get my oil changed
89,i need to know how to say hello in france
90,i can't use my damaged card
91,how many times can 12 go into 600
92,what is the square root of sixteen
93,what is the wait supposed to be at zippys
94,what is the current status of my vacation request
95,can you tell me how many points i have on my kohls card
96,can i make it to tampa without needing to get more gas
97,how much can i charge on my visa
98,find out for me when the next holiday will be
99,can you tell me the reminders i have set up
100,i need to let my bank know that i'll be travelling internationally
101,is there any good place in hawaii for pasta
102,alert my bank and let them know that i'm travelling to switzerland
103,i would like all of these things on my shopping list ordered
104,what's lifes meaning
105,get the tracking on my package
106,tell me a fun fact about computer
107,what is the weather in tokyo
108,what's 3 plus 3
109,am i able to place a pto request for february 20-25
110,is there a holiday next week
111,schedule an appointment to get my oil changed
112,is 126 divisible by 8
113,reset to your original settings
114,please pay my bill
115,tell me how to say hello in spanish
116,what is a fun fact about dogs
117,how often should i change my oil
118,what exactly is your name
119,can you tell me my credit limit
120,what do i pay in taxes
121,tell me a fact
122,speed your speech up
123,how can i go about cashing in rewards with discover
124,english to spanish for dog
125,does this care use premium gas
126,can you tell me what today's date is
127,i need a replacement phone charger ordered online
128,please abort the current process
129,help me apply for a visa card
130,dog in spanish
131,does life have a meaning
132,i am hungry and need a restaurant suggestion
133,i think my luggage has been misplaced
134,refresh to factory defaults
135,x card has earned how many points
136,what is the recommended interval to get my oil changed
137,what kind of oil do i need to use for my car
138,how many inches are in 36 feet
139,please stop my account
140,what do you know
141,can you swap to male voice
142,when will i need another oil change
143,i can't use my card because it's broken
144,how many vacation days do i still have
145,how's the sausage pizza at pizza hut
146,when will i get my order
147,would you stop talking please
148,what is the weather in tokyo
149,i wanna know the types of subjects are you familiar with
150,what can i ask you
151,how long does it take to get to applebees in new york
152,can i make an appointment for an oil change
153,"nevermind, cancel that"
154,what name was given to you
155,do i have any pto days left
156,has my package been sent
157,could you tell me the fuel type for my car
158,can substitute cumin for tumeric
159,please order an iphone7 for me
160,on the lounge lights turn
161,give me the reviews for chipotle
162,is fixing mom's kitchen blind on my to do list
163,tell me the calorie content for an apple
164,can you speak more slowly
165,what questions am i allowed to ask
166,tell me the highest amount i can spend on my discover card
167,please remind me of something
168,can you cancel
169,what have i got on my to-do list
170,"i'm out of cat food, order more"
171,what are you called
172,can you call my cellphone
173,can i use colby jack cheese instead of cheddar in a recipe
174,set a reminder for my doctors appointment
175,"i want to go out to eat but have no idea where to go, do you know of any places"
176,what holiday comes next
177,slow the speech down
178,can i convert my credit card points to milage
179,"siri, where is my iphone"
180,find step by step instructions on how to change my oil
181,what will the temperature be tomorrow
182,"could you submit a pto request for me from dates mar 3 to 9, please"
183,what do you do if your luggage is missing
184,what name do you prefer
185,how long would a bus to the empire state building take
186,please reset the factory settings
187,secure the doors
188,i accidentally shredded my card
189,i'm travelling to ireland soon and want to inform my bank
190,what is your full name
191,where in sacramento ca i schedule maintenance on my car
192,the ac is set to what right now
193,i wish to know my credit limit for my credit card
194,play music by ludacris
195,when is my next oil change
196,how can i stop transactions on my account
197,what is the weather outlook for seattle
198,are ned's reviews good
199,what are the best places to get shrimp in chicago
200,what number of vacation days remain for me
201,how many vacation hours do i have
202,please speak slower
203,are there some good thai restaurants in san antonio
204,confirm that buy a light bulb is on my list of reminders
205,what's my tax rate
206,can you please slow down
207,you're talking too quickly for me to understand
208,what's the purpose of life
209,could you tell me the meaning of life
210,my list of reminders contains what
211,"when is our next free day, please"
212,please speak slower
213,has flight dl123 landed
214,what types of things can i ask the ai
215,please tell me the procedure to cash in my rewards for my citibank card
216,what day will it be 373 days from now
217,look up uber to downtown
218,alternatives to white wine in food
219,what's your opinion on the meaning of life
220,please make a pto request for dates tomorrow to the twentieth
221,freeze my account immediately
222,i need to know the status of my day off request
223,how is the weather in miami
224,tell me the plug type that is used in scotland
225,"stop, just stop"
226,please remind me later
227,do i need a socket converter if i'm going to be in germany
228,i need an uber reserved to take me to the restaurant
229,how's the lo mein rated at hun lee's
230,i want to know if i shouldget a tourist visa for italy
231,what time will i be allowed to board
232,what things can you do
233,how long will i wait for a table at red lobster
234,i want you reset to factory settings
235,return to default settings
236,translate english to french hello
